L,E_exact,E_dmrg,time_exact,time_dmrg,abs_error
2,-2.23606797749979,,0.003977537155151367,,
12,-14.925971109908646,-14.925971109908636,0.07939505577087402,1.4107697010040283,1.0658141036401503e-14
22,,-27.65370834784378,,4.356366157531738,
32,,-40.3843131612186,,8.028733730316162,
42,,-53.11576076676167,,17.958653688430786,
52,,-65.84756949120103,,30.268699645996094,
62,,-78.57956597963602,,60.335293769836426,
72,,-91.31167253103877,,142.09019589424133,
82,,-104.04384912038336,,187.82740688323975,
92,,-116.77607303173089,,247.63167023658752,
